web-scraper-order,web-scraper-start-url,paging,paging-href,links,links-href,title,price,priceWas,Rating,Rating_Count,discount
"1666980279-164","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Fitness Mat
With Carry Strap 178……EGP 200.00","https://www.noon.com/egypt-en/fitness-mat-with-carry-strap-178-60-1cm/N48989711A/p/?o=c96db575f980bd8f","Fitness Mat With Carry Strap 178*60*1cm","EGP 200.00 (Inclusive of VAT)","null","null","null","null"
"1666980286-165","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","FITNESS MINUTES
Fitness Minutes Yog……EGP 1350.00","https://www.noon.com/egypt-en/fitness-minutes-yoga-half-ball-dome-balance/N52416515A/p/?o=daa18f785891a0fb","Fitness Minutes Yoga Half Ball Dome Balance","EGP 1350.00 (Inclusive of VAT)","null","null","null","null"
"1666980291-166","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Emfil Exercise Yoga
Mat 183*61*6cm …EGP 250.00 5.02","https://www.noon.com/egypt-en/exercise-yoga-mat-183-61-6cm/N44711387A/p/?o=aac8f041aaa0717e","Exercise Yoga Mat 183*61*6cm","EGP 250.00 (Inclusive of VAT)","null","5.0","2 Ratings","null"
"1666980296-167","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Fitness World Yoga
Swiss Ball 95cm …EGP 274.00 4.412","https://www.noon.com/egypt-en/yoga-swiss-ball-95cm/N18842218A/p/?o=e6406bd40aaff60c","Yoga Swiss Ball 95cm","EGP 274.00 (Inclusive of VAT)","null","4.4","12 Ratings","null"
"1666980301-168","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","LIXADA Portable
Home Gym Yoga Pil……EGP 230.00EGP 33030% Off 4.01","https://www.noon.com/egypt-en/portable-home-gym-yoga-pilates-stick-92-5cm/N36557078A/p/?o=ec4c28bf9d417fcb","Portable Home Gym Yoga Pilates Stick 92.5cm","EGP 230.00 Inclusive of VAT","EGP 330.00","4.0","1 Rating","30% Off"
"1666980306-169","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Generic Multi Utility
Mat For Exercise,Yog……EGP 178.80EGP 25329% Off","https://www.noon.com/egypt-en/multi-utility-mat-for-exercise-yoga-picnic-purposes/N44860833A/p/?o=c6b8e2c11a0b093c","Multi Utility Mat For Exercise,Yoga,Picnic Purposes","EGP 178.80 Inclusive of VAT","EGP 252.65","null","null","29% Off"
"1666980312-170","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Athlete Home Red
Floor Sand Bag 160c……EGP 2000.00","https://www.noon.com/egypt-en/red-floor-sand-bag-160cm/N52997095A/p/?o=cb225225257caa9f","Red Floor Sand Bag 160cm","EGP 2000.00 (Inclusive of VAT)","null","null","null","null"
"1666980319-171","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","yoga mat Non-Slip
Yoga Mat And Hand ……EGP 193.00 5.02","https://www.noon.com/egypt-en/non-slip-yoga-mat-and-hand-grip-3-mm/N34539695A/p/?o=ff20a237295451bc","Non-Slip Yoga Mat And Hand Grip 3 mm","EGP 193.00 (Inclusive of VAT)","null","5.0","2 Ratings","null"
"1666980324-172","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","VTC Yoga Mat
Exercise Gym Mat 6……EGP 169.00","https://www.noon.com/egypt-en/yoga-mat-exercise-gym-mat-6ml/N52352538A/p/?o=fc4fe7fe333fcbde","Yoga Mat Exercise Gym Mat 6ml","EGP 169.00 (Inclusive of VAT)","null","null","null","null"
"1666980330-173","https://www.noon.com/egypt-en/sports-and-outdoors/exercise-and-fitness/yoga-16328/?limit=150&sort%5Bby%5D=popularity&sort%5Bdir%5D=desc","","","Athlete Home Red
Floor Sand Bag 180c……EGP 2400.00","https://www.noon.com/egypt-en/red-floor-sand-bag-180cm/N52997096A/p/?o=bc039860d63b5bec","Red Floor Sand Bag 180cm","EGP 2400.00 (Inclusive of VAT)","null","null","null","null"
